code,description
AB,Automatic Ball
AS,Automatic Strike
CH,Changeup
CS,Slow Curve
CU,Curveball
EP,Eephus Pitch
FA,Fastball
FC,Cutter
FF,Four-seam FB
FO,Forkball
FS,Splitter
FT,Two-seam FB
GY,Gyroball
IN,Intentional Ball
KC,Knuckle Curve
KN,Knuckleball
NP,No Pitch
PO,Pitchout
SC,Screwball
SI,Sinker
SL,Slider
ST,Slutter
SV,Slurve
UN,Unknown
