player_mlbam,player,position,team,team_mlbam,date,award_id,award,ntoes,votes
113168,Dizzy Dean,P,St. Louis Cardinals,138,1953-11-01,MLBHOF,Hall Of Fame,-,209
492554,Ed Barrow,X,No team,14,1953-11-01,MLBHOF,Hall Of Fame,-,-
124617,Harry Wright,X,-,174,1953-11-01,MLBHOF,Hall Of Fame,-,-
524928,Tom Connolly,X,No team,14,1953-11-01,MLBHOF,Hall Of Fame,-,-
115705,Harry Heilmann,OF,Detroit Tigers,116,1952-11-01,MLBHOF,Hall Of Fame,-,203
123905,Paul Waner,OF,Pittsburgh Pirates,134,1952-11-01,MLBHOF,Hall Of Fame,-,195
114367,Jimmie Foxx,1B,Boston Red Sox,111,1951-11-01,MLBHOF,Hall Of Fame,-,179
120117,Mel Ott,OF,New York Giants,137,1951-11-01,MLBHOF,Hall Of Fame,-,197
114682,Charlie Gehringer,2B,Detroit Tigers,116,1949-11-01,MLBHOF,Hall Of Fame,-,159
119761,Kid Nichols,P,Boston Braves,144,1949-11-01,MLBHOF,Hall Of Fame,-,-
111577,Mordecai Brown,P,Chicago Cubs,112,1949-11-01,MLBHOF,Hall Of Fame,-,-
120386,Herb Pennock,P,New York Yankees,147,1948-11-01,MLBHOF,Hall Of Fame,-,94
123446,Pie Traynor,3B,Pittsburgh Pirates,134,1948-11-01,MLBHOF,Hall Of Fame,-,93
116249,Carl Hubbell,P,New York Giants,137,1947-11-01,MLBHOF,Hall Of Fame,-,140
114448,Frankie Frisch,2B,St. Louis Cardinals,138,1947-11-01,MLBHOF,Hall Of Fame,-,136
115201,Lefty Grove,P,Boston Red Sox,111,1947-11-01,MLBHOF,Hall Of Fame,-,123
112437,Mickey Cochrane,C,Detroit Tigers,116,1947-11-01,MLBHOF,Hall Of Fame,-,128
115150,Clark Griffith,X,No team,14,1946-11-01,MLBHOF,Hall Of Fame,-,-
123878,Ed Walsh,P,Chicago White Sox,145,1946-11-01,MLBHOF,Hall Of Fame,-,-
120616,Eddie Plank,P,Philadelphia Athletics,133,1946-11-01,MLBHOF,Hall Of Fame,-,-
112183,Frank Chance,1B,Chicago Cubs,112,1946-11-01,MLBHOF,Hall Of Fame,-,-
