player_mlbam,player,position,team,team_mlbam,date,award_id,award,ntoes,votes
114086,Rick Ferrell,C,Boston Red Sox,111,1984-11-01,MLBHOF,Hall Of Fame,-,-
121301,Brooks Robinson,3B,Baltimore Orioles,110,1983-11-01,MLBHOF,Hall Of Fame,-,344
116913,George Kell,3B,Detroit Tigers,116,1983-11-01,MLBHOF,Hall Of Fame,-,-
118283,Juan Marichal,P,San Francisco Giants,137,1983-11-01,MLBHOF,Hall Of Fame,-,313
110193,Walter Alston,X,Los Angeles Dodgers,119,1983-11-01,MLBHOF,Hall Of Fame,-,-
121311,Frank Robinson,OF,Baltimore Orioles,110,1982-11-01,MLBHOF,Hall Of Fame,-,370
110001,Hank Aaron,OF,Atlanta Braves,144,1982-11-01,MLBHOF,Hall Of Fame,-,406
492559,Happy Chandler,X,No team,14,1982-11-01,MLBHOF,Hall Of Fame,-,-
116445,Travis Jackson,SS,San Francisco Giants,137,1982-11-01,MLBHOF,Hall Of Fame,-,-
114756,Bob Gibson,P,St. Louis Cardinals,138,1981-11-01,MLBHOF,Hall Of Fame,-,337
119207,Johnny Mize,1B,St. Louis Cardinals,138,1981-11-01,MLBHOF,Hall Of Fame,-,-
116822,Al Kaline,OF,Detroit Tigers,116,1980-11-01,MLBHOF,Hall Of Fame,-,340
117141,Chuck Klein,OF,Philadelphia Phillies,143,1980-11-01,MLBHOF,Hall Of Fame,-,-
122488,Duke Snider,OF,Los Angeles Dodgers,119,1980-11-01,MLBHOF,Hall Of Fame,-,333
492589,Tom Yawkey,X,No team,14,1980-11-01,MLBHOF,Hall Of Fame,-,-
124412,Hack Wilson,OF,Chicago Cubs,112,1979-11-01,MLBHOF,Hall Of Fame,-,-
492569,Warren Giles,X,No team,14,1979-11-01,MLBHOF,Hall Of Fame,-,-
118495,Willie Mays,OF,San Francisco Giants,137,1979-11-01,MLBHOF,Hall Of Fame,-,409
116772,Addie Joss,P,Cleveland Indians,114,1978-11-01,MLBHOF,Hall Of Fame,-,-
118416,Eddie Mathews,3B,Atlanta Braves,144,1978-11-01,MLBHOF,Hall Of Fame,-,301
492577,Larry MacPhail,X,No team,14,1978-11-01,MLBHOF,Hall Of Fame,-,-
117914,Al Lopez,X,Cleveland Indians,114,1977-11-01,MLBHOF,Hall Of Fame,-,-
121559,Amos Rusie,P,San Francisco Giants,137,1977-11-01,MLBHOF,Hall Of Fame,-,-
110533,Ernie Banks,1B,Chicago Cubs,112,1977-11-01,MLBHOF,Hall Of Fame,-,321
122023,Joe Sewell,SS,Cleveland Indians,114,1977-11-01,MLBHOF,Hall Of Fame,-,-
117671,Bob Lemon,P,Cleveland Indians,114,1976-11-01,MLBHOF,Hall Of Fame,-,305
492571,Cal Hubbard,X,No team,14,1976-11-01,MLBHOF,Hall Of Fame,-,-
117793,Freddie Lindstrom,3B,San Francisco Giants,137,1976-11-01,MLBHOF,Hall Of Fame,-,-
121283,Robin Roberts,P,Philadelphia Phillies,143,1976-11-01,MLBHOF,Hall Of Fame,-,337
112589,Roger Connor,1B,San Francisco Giants,137,1976-11-01,MLBHOF,Hall Of Fame,-,-
115809,Billy Herman,2B,Chicago Cubs,112,1975-11-01,MLBHOF,Hall Of Fame,-,-
115534,Bucky Harris,X,Minnesota Twins,142,1975-11-01,MLBHOF,Hall Of Fame,-,-
110396,Earl Averill,OF,Cleveland Indians,114,1975-11-01,MLBHOF,Hall Of Fame,-,-
117072,Ralph Kiner,OF,Pittsburgh Pirates,134,1975-11-01,MLBHOF,Hall Of Fame,-,273
111266,Jim Bottomley,1B,St. Louis Cardinals,138,1974-11-01,MLBHOF,Hall Of Fame,-,-
112561,Jocko Conlan,X,No team,14,1974-11-01,MLBHOF,Hall Of Fame,-,-
118258,Mickey Mantle,OF,New York Yankees,147,1974-11-01,MLBHOF,Hall Of Fame,-,322
123303,Sam Thompson,OF,Philadelphia Phillies,143,1974-11-01,MLBHOF,Hall Of Fame,-,-
114299,Whitey Ford,P,New York Yankees,147,1974-11-01,MLBHOF,Hall Of Fame,-,284
492564,Billy Evans,X,No team,14,1973-11-01,MLBHOF,Hall Of Fame,-,-
116942,High Pockets Kelly,1B,San Francisco Giants,137,1973-11-01,MLBHOF,Hall Of Fame,-,-
124062,Mickey Welch,P,San Francisco Giants,137,1973-11-01,MLBHOF,Hall Of Fame,-,-
116403,Monte Irvin,OF,San Francisco Giants,137,1973-11-01,MLBHOF,Hall Of Fame,-,-
112391,Roberto Clemente,OF,Pittsburgh Pirates,134,1973-11-01,MLBHOF,Hall Of Fame,-,393
122557,Warren Spahn,P,Atlanta Braves,144,1973-11-01,MLBHOF,Hall Of Fame,-,316
124633,Early Wynn,P,Cleveland Indians,114,1972-11-01,MLBHOF,Hall Of Fame,-,301
114917,Lefty Gomez,P,New York Yankees,147,1972-11-01,MLBHOF,Hall Of Fame,-,-
124717,Ross Youngs,OF,San Francisco Giants,137,1972-11-01,MLBHOF,Hall Of Fame,-,-
117277,Sandy Koufax,P,Los Angeles Dodgers,119,1972-11-01,MLBHOF,Hall Of Fame,-,344
