mlbam,name,active,address1,address2,postal_code,city,state,country,phone,lat,lon,turf_type,roof_type,left_line,right_line,left,center,right,left_center,right_center,tz_id,tz_offset,tz,retroID
4902,Riverfront Stadium,False,,,,Waterloo,IA,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4903,Riverside Sports Complex,False,,,,Riverside,CA,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
4904,Toro Stadium,False,,,,Victoria,TX,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4905,Rohnert Park Stadium,False,,,,Rohnert Park,CA,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
4906,Royal Athletic Park,False,,,,Victoria,BC,USA,,,,Grass,Open,,,,,,,,America/Vancouver,-7,PDT,
4907,Ruppert Stadium,False,,,,Newark,NJ,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4908,Russwood Park,False,,,,Memphis,TN,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4909,Sal Maglie Stadium,False,,,,Niagara Falls,NY,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4910,Salinas Municipal Stadium,False,,,,Salinas,CA,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
4911,Samuel W. Wolfson Park,False,,,,Jacksonville,FL,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4912,Sanders-Jacobs Field,False,,,,Pasco,WA,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
4913,Sec Taylor Stadium,False,,,,Des Moines,IA,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4914,Serge B. Simmons Field,False,,,,Ogden,UT,USA,,,,Grass,Open,,,,,,,,America/Denver,-6,MDT,
4915,Silver Stadium,False,,,,Rochester,NY,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4916,Simmons Field,False,,,,Kenosha,WI,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4917,Simplot Stadium,False,,,,Caldwell,ID,USA,,,,Grass,Open,,,,,,,,America/Boise,-6,MDT,
4029,Goodwin Field,False,,,,Fullerton,CA,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
4569,Bobby Mattick Complex,True,373 Douglas Avenue,,34698,Dunedin,FL,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
5156,Cambria County War Memorial Arena,False,,,,Johnstown,PA,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5157,Dunkin' Donuts Center,False,,,,Providence,RI,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5163,Lakeview Arena,False,,,,Marquette,MI,USA,,,,Indoor,Dome,,,,,,,,America/Detroit,-4,EDT,
5165,MGM Grand Garden Arena,False,,,,Las Vegas,NV,USA,,,,Indoor,Dome,,,,,,,,America/Los_Angeles,-7,PDT,
5167,Pegula Ice Arena,False,,,,University Park,PA,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5168,PPL Center,False,,,,Allentown,PA,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5169,Rabobank Arena,False,,,,Bakersfield,CA,USA,,,,Indoor,Dome,,,,,,,,America/Los_Angeles,-7,PDT,
5173,Sprint Center,False,,,,Kansas City,MO,USA,,,,Indoor,Dome,,,,,,,,America/Chicago,-5,CDT,
5174,Tate Rink,False,,,,West Point,NY,USA,,,,Indoor,Dome,,,,,,,,America/New_York,-4,EDT,
5175,TCF Bank Stadium,False,,,,Minneapolis,MN,USA,,,,Artificial Turf,Open,,,,,,,,America/Chicago,-5,CDT,
5178,T-Mobile Arena,False,,,,Las Vegas,NV,USA,,,,Indoor,Dome,,,,,,,,America/Los_Angeles,-7,PDT,
5295,The Battery Atlanta,False,,,,Atlanta,GA,USA,,,,Indoor,Open,,,,,,,,America/New_York,-4,EDT,
5315,Max Bishop Stadium,True,,,,Annapolis,MD,USA,,,,Artificial Turf,Open,322.0,304.0,,397.0,,382.0,372.0,America/New_York,-4,EDT,
4169,loanDepot park,True,501 Marlins Way,,33125,Miami,FL,USA,,25.77796236,-80.21951795,Grass,Retractable,344.0,335.0,,407.0,,386.0,392.0,America/New_York,-4,EDT,MIA02
4918,Sims Legion Park,False,,,,Gastonia,NC,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4919,Smithson Stadium,False,,,,Knoxville,TN,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4920,Smith-Wills Stadium,False,,,,Jackson,MS,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4921,SPAR Stadium,False,,,,Shreveport,LA,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4922,St. Cloud Commons,False,,,,Huntington,WV,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4925,Stuart Stadium,False,,,,Beaumont,TX,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4926,Sulphur Dell,False,,,,Nashville,TN,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4927,Louisiana SuperDome,False,,,,New Orleans,LA,USA,,,,Indoor,Dome,,,,,,,,America/Chicago,-5,CDT,
4928,Swayne Field,False,,,,Toledo,OH,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4930,The Ballpark,False,,,,Old Orchard Beach,ME,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4931,The Ballpark at St. John's,False,,,,Queens,NY,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4932,The Cocoa Expo,False,,,,Cocoa,FL,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4933,Thurman Munson Memorial Stadium,False,,,,Canton,OH,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4934,Tim McCarver Stadium,False,,,,Memphis,TN,USA,,,,Artificial Turf,Open,,,,,,,,America/Chicago,-5,CDT,
4935,Tingley Field,False,,,,Albuquerque,NM,USA,,,,Grass,Open,,,,,,,,America/Denver,-6,MDT,
4936,Tinker Field,False,,,,Orlando,FL,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4937,V.J. Keefe Memorial Field,False,,,,San Antonio,TX,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4938,Vaughn Street Park,False,,,,Portland,OR,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
4939,Veterans Field,False,,,,Shelby,NC,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4940,Veterans Memorial Stadium,False,,,,Little Falls,NY,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4941,Vince Genna Stadium,False,,,,Bend,OR,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
4942,Vincent-Beck Stadium,False,,,,Beaumont,TX,USA,,,,Artificial Turf,Open,,,,,,,,America/Chicago,-5,CDT,
4943,War Memorial Stadium,False,,,,Buffalo,NY,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4944,Warner Park,False,,,,Madison,WI,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4945,Washington Park,False,,,,Santa Clara,CA,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
4946,Waters Field,False,,,,Salem,OR,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
4948,West Palm Beach Municipal Stadium,False,,,,West Palm Beach,FL,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4949,Westgate Park,False,,,,San Diego,CA,USA,,,,Grass,Open,,,,,,,,America/Los_Angeles,-7,PDT,
4950,Wickers Stadium,False,,,,Key West,FL,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4952,Witter Field,False,,,,Wisconsin Rapids,WI,USA,,,,Grass,Open,,,,,,,,America/Chicago,-5,CDT,
4953,World War Memorial Stadium,False,,,,Greensboro,NC,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
4954,Yale Field,False,,,,New Haven,CT,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
2971,Les Murakami Stadium,False,,,,Honolulu,HI,USA,,,,Artificial Turf,Open,325.0,325.0,,385.0,,365.0,365.0,America/New_York,-4,EDT,
4985,Dunkin' Donuts Park,True,1214 Main Street,,06103,Hartford,CT,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,
1,Angel Stadium,True,2000 Gene Autry Way,,92806,Anaheim,CA,USA,(714) 940-2000,33.80019044,-117.8823996,Grass,Open,330.0,330.0,347.0,396.0,348.0,389.0,365.0,America/Los_Angeles,-7,PDT,ANA01
2,Oriole Park at Camden Yards,True,333 West Camden Street,,21201,Baltimore,MD,USA,(410) 685-9800,39.283787,-76.621689,Grass,Open,333.0,318.0,364.0,400.0,,410.0,373.0,America/New_York,-4,EDT,BAL12
3,Fenway Park,True,4 Yawkey Way,,2215,Boston,MA,USA,(617) 267-9440,42.346456,-71.097441,Grass,Open,310.0,302.0,379.0,420.0,,390.0,380.0,America/New_York,-4,EDT,BOS07
4,Guaranteed Rate Field,True,333 West 35th Street,,60616,Chicago,IL,USA,(312) 674-1000,41.83,-87.634167,Grass,Open,330.0,335.0,,400.0,,377.0,372.0,America/Chicago,-5,CDT,CHI12
6,Tiger Stadium,False,,,,Detroit,MI,USA,,,,Grass,Open,,,,,,,,America/Detroit,-4,EDT,DET04
7,Kauffman Stadium,True,One Royal Way,,64129,Kansas City,MO,USA,(816) 921-8000,39.051567,-94.480483,Grass,Open,330.0,330.0,,410.0,,385.0,385.0,America/Chicago,-5,CDT,KAN06
8,Hubert H. Humphrey Metrodome,False,,,,Minneapolis,MN,USA,,,,Artificial Turf,Dome,343.0,327.0,,408.0,,385.0,367.0,America/Chicago,-5,CDT,MIN03
9,Yankee Stadium,False,,,,Bronx,NY,USA,,,,Grass,Open,318.0,314.0,,408.0,,399.0,385.0,America/New_York,-4,EDT,NYC16
10,Oakland Coliseum,True,7000 Coliseum Way,,94621,Oakland,CA,USA,(510) 638-4900,37.751511,-122.200698,Grass,Open,330.0,330.0,367.0,400.0,367.0,388.0,388.0,America/Los_Angeles,-7,PDT,OAK01
11,The Kingdome,False,,,,Seattle,WA,USA,,,,Artificial Turf,Dome,,,,,,,,America/Los_Angeles,-7,PDT,SEA02
12,Tropicana Field,True,One Tropicana Drive,,33705,St. Petersburg,FL,USA,(727) 825-3137,27.767778,-82.6525,Artificial Turf,Dome,315.0,322.0,370.0,404.0,370.0,410.0,404.0,America/New_York,-4,EDT,STP01
15,Chase Field,True,401 East Jefferson Street,,85004,Phoenix,AZ,USA,(602) 462-6500,33.445302,-112.066687,Artificial Turf,Retractable,328.0,335.0,376.0,407.0,376.0,412.0,414.0,America/Phoenix,-7,MST,PHO01
16,Turner Field,False,755 Hank Aaron Drive,,30315,Atlanta,GA,USA,(404) 522-7630,,,Grass,Open,335.0,330.0,,401.0,,380.0,390.0,America/New_York,-4,EDT,ATL02
18,Cinergy Field,False,,,,Cincinnati,OH,USA,,,,Grass,Open,,,,,,,,America/New_York,-4,EDT,CIN08
20,Hard Rock Stadium,False,2269 Dan Marino Boulevard,,33056,Miami,FL,USA,(305) 626-7400,,,Grass,Retractable,340.0,335.0,,422.0,,384.0,392.0,America/New_York,-4,EDT,MIA01
21,Astrodome,False,,,,Houston,TX,USA,,,,Artificial Turf,Dome,,,,,,,,America/Chicago,-5,CDT,HOU02
