mlbam,Manager,Tm,bbrefID,HOF,Years,First,Last,W,L,W%,Best,Worst,Ejections
492691,Larry Shepard,PIT,shepala99,FALSE,2,1968,1969,164,155,0.514,3,6,8
110697,Hank Bauer,BAL,bauerha01,FALSE,5,1964,1968,407,318,0.561,1,7,11
122666,Eddie Stanky,CHW,stanked01,FALSE,3,1966,1968,206,197,0.511,4,8,10
119446,Les Moss,CHW,mossle01,FALSE,1,1968,1968,12,24,0.333,8,8,0
115611,Grady Hatton,HOU,hattogr01,FALSE,3,1966,1968,164,221,0.426,8,10,6
113885,Cal Ermer,MIN,ermerca01,FALSE,2,1967,1968,145,129,0.529,2,7,7
116987,Bob Kennedy,OAK,kennebo01,FALSE,1,1968,1968,82,80,0.506,6,6,1
118451,Gene Mauch,PHI,mauchge01,FALSE,9,1960,1968,646,684,0.486,2,8,23
114387,Herman Franks,SFG,frankhe01,FALSE,4,1965,1968,367,280,0.567,2,2,6
117670,Jim Lemon,TEX,lemonji01,FALSE,1,1968,1968,65,96,0.404,10,10,0
115983,Billy Hitchcock,ATL,hitchbi01,FALSE,2,1966,1967,110,100,0.524,5,7,4
122237,Ken Silvestri,ATL,silveke01,FALSE,1,1967,1967,0,3,0,7,7,0
110071,Joe Adcock,CLE,adcocjo01,FALSE,1,1967,1967,75,87,0.463,8,8,3
118929,Sam Mele,MIN,melesa01,FALSE,7,1961,1967,524,436,0.546,1,7,5
120227,Salty Parker,NYM,parkesa01,FALSE,1,1967,1967,4,7,0.364,10,10,0
124121,Wes Westrum,NYM,westrwe01,FALSE,3,1965,1967,142,237,0.375,9,10,6
110297,Luke Appling,OAK,applilu01,TRUE,1,1967,1967,10,30,0.25,10,10,0
123825,Harry Walker,PIT,walkeha01,FALSE,3,1965,1967,224,184,0.549,3,6,10
116008,Gil Hodges,TEX,hodgegi01,FALSE,5,1963,1967,321,444,0.42,6,10,2
111368,Bobby Bragan,ATL,bragabo01,FALSE,4,1963,1966,310,287,0.519,5,6,9
115809,Billy Herman,BOS,hermabi01,TRUE,3,1964,1966,128,182,0.413,8,9,1
121555,Pete Runnels,BOS,runnepe01,FALSE,1,1966,1966,8,8,0.5,9,9,0
115693,Don Heffner,CIN,heffndo01,FALSE,1,1966,1966,37,46,0.446,7,7,0
123167,Birdie Tebbetts,CLE,tebbebi01,FALSE,4,1963,1966,278,259,0.518,5,6,8
122872,George Strickland,CLE,stricge01,FALSE,2,1964,1966,48,63,0.432,5,6,0
123052,Bob Swift,DET,swiftbo01,FALSE,2,1965,1966,56,43,0.566,3,4,0
113557,Chuck Dressen,DET,dressch01,FALSE,4,1963,1966,221,189,0.539,3,5,0
122288,Frank Skaff,DET,skafffr01,FALSE,1,1966,1966,40,39,0.506,3,3,0
492654,Johnny Keane,NYY,keanejo99,FALSE,2,1965,1966,81,101,0.445,6,10,1
116987,Bob Kennedy,CHC,kennebo01,FALSE,3,1963,1965,182,198,0.479,7,8,4
117142,Lou Klein,CHC,kleinlo01,FALSE,3,1961,1965,65,82,0.442,7,9,0
122281,Dick Sisler,CIN,sisledi01,FALSE,2,1964,1965,121,94,0.563,2,4,2
115515,Lum Harris,HOU,harrilu01,FALSE,2,1964,1965,70,105,0.4,9,9,1
122737,Casey Stengel,NYM,stengca01,TRUE,4,1962,1965,175,404,0.302,10,10,5
122947,Haywood Sullivan,OAK,sulliha02,FALSE,1,1965,1965,54,82,0.397,10,10,0
492662,Mel McGaha,OAK,mcgahme99,FALSE,2,1964,1965,45,91,0.331,10,10,0
116367,Fred Hutchinson,CIN,hutchfr01,FALSE,6,1959,1964,443,372,0.544,1,6,19
112777,Harry Craft,HOU,craftha01,FALSE,3,1962,1964,191,280,0.406,8,9,9
117909,Eddie Lopat,OAK,lopated01,FALSE,2,1963,1964,90,124,0.421,8,10,2
113052,Al Dark,SFG,darkal01,FALSE,4,1961,1964,366,277,0.569,1,4,10
492654,Johnny Keane,STL,keanejo99,FALSE,4,1961,1964,317,249,0.56,1,6,10
115983,Billy Hitchcock,BAL,hitchbi01,FALSE,2,1962,1963,163,161,0.503,4,7,9
121785,Bob Scheffing,DET,schefbo01,FALSE,3,1961,1963,210,173,0.548,2,5,5
124682,Eddie Yost,TEX,yosted01,FALSE,1,1963,1963,0,1,0,10,10,0
123711,Mickey Vernon,TEX,vernomi01,FALSE,3,1961,1963,135,227,0.373,9,10,4
123167,Birdie Tebbetts,ATL,tebbebi01,FALSE,2,1961,1962,98,89,0.524,4,5,2
115911,Pinky Higgins,BOS,higgipi01,FALSE,8,1955,1962,560,556,0.502,3,8,1
118998,Charlie Metro,CHC,metroch01,FALSE,1,1962,1962,43,69,0.384,9,9,2
123092,El Tappe,CHC,tappeel01,FALSE,2,1961,1962,46,70,0.397,7,9,4
115451,Mel Harder,CLE,hardeme01,FALSE,2,1961,1962,3,0,1,5,6,0
492662,Mel McGaha,CLE,mcgahme99,FALSE,1,1962,1962,78,82,0.488,6,6,0
113557,Chuck Dressen,ATL,dressch01,FALSE,2,1960,1961,159,124,0.562,2,4,1
115515,Lum Harris,BAL,harrilu01,FALSE,1,1961,1961,17,10,0.63,3,3,0
121150,Paul Richards,BAL,richapa01,FALSE,7,1955,1961,517,539,0.49,2,7,52
112777,Harry Craft,CHC,craftha01,FALSE,1,1961,1961,7,9,0.438,7,7,0
492651,Vedie Himsl,CHC,himslve99,FALSE,1,1961,1961,10,21,0.323,6,7,0
113685,Jimmy Dykes,CLE,dykesji01,FALSE,2,1960,1961,103,115,0.472,4,5,3
117542,Cookie Lavagetto,MIN,lavagco01,FALSE,5,1957,1961,271,384,0.414,5,8,0
114967,Joe Gordon,OAK,gordojo01,TRUE,1,1961,1961,26,33,0.441,9,9,0
115742,Solly Hemus,STL,hemusso01,FALSE,3,1959,1961,190,192,0.497,3,7,11
116795,Billy Jurges,BOS,jurgebi01,FALSE,2,1959,1960,59,63,0.484,5,7,0
110468,Del Baker,BOS,bakerde01,FALSE,1,1960,1960,2,5,0.286,7,7,0
115167,Charlie Grimm,CHC,grimmch01,FALSE,14,1932,1960,946,782,0.547,1,8,19
111272,Lou Boudreau,CHC,boudrlo01,TRUE,1,1960,1960,54,83,0.394,7,7,1
124179,Jo-Jo White,CLE,whitejo01,FALSE,1,1960,1960,1,0,1,4,4,0
114967,Joe Gordon,CLE,gordojo01,TRUE,3,1958,1960,184,151,0.549,2,4,10
115983,Billy Hitchcock,DET,hitchbi01,FALSE,1,1960,1960,1,0,1,6,6,0
113685,Jimmy Dykes,DET,dykesji01,FALSE,2,1959,1960,118,115,0.506,4,6,2
114967,Joe Gordon,DET,gordojo01,TRUE,1,1960,1960,26,31,0.456,6,6,0
122737,Casey Stengel,NYY,stengca01,TRUE,12,1949,1960,1149,696,0.623,1,3,12
113813,Bob Elliott,OAK,elliobo01,FALSE,1,1960,1960,58,96,0.377,8,8,0
112451,Andy Cohen,PHI,cohenan01,FALSE,1,1960,1960,1,0,1,8,8,0
492687,Eddie Sawyer,PHI,sawyeed99,FALSE,8,1948,1960,390,423,0.48,1,8,4
122103,Tom Sheehan,SFG,sheehto02,FALSE,1,1960,1960,46,50,0.479,5,5,0
115416,Fred Haney,ATL,haneyfr01,FALSE,4,1956,1959,341,231,0.596,1,2,3
124678,Rudy York,BOS,yorkru01,FALSE,1,1959,1959,0,1,0,5,5,0
121785,Bob Scheffing,CHC,schefbo01,FALSE,3,1957,1959,208,254,0.45,6,8,6
122379,Mayo Smith,CIN,smithma01,FALSE,1,1959,1959,35,45,0.438,5,5,0
119838,Bill Norman,DET,normabi01,FALSE,2,1958,1959,58,64,0.475,4,5,0
112777,Harry Craft,OAK,craftha01,FALSE,3,1957,1959,162,196,0.453,7,7,2
123167,Birdie Tebbetts,CIN,tebbebi01,FALSE,5,1954,1958,372,357,0.51,3,5,14
113685,Jimmy Dykes,CIN,dykesji01,FALSE,1,1958,1958,24,17,0.585,4,4,0
111368,Bobby Bragan,CLE,bragabo01,FALSE,1,1958,1958,31,36,0.463,4,4,0
492696,Jack Tighe,DET,tigheja99,FALSE,2,1957,1958,99,104,0.488,4,5,4
122379,Mayo Smith,PHI,smithma01,FALSE,4,1955,1958,264,282,0.484,4,8,6
116367,Fred Hutchinson,STL,hutchfr01,FALSE,3,1956,1958,232,220,0.513,2,5,15
115283,Stan Hack,STL,hackst01,FALSE,1,1958,1958,3,7,0.3,5,5,0
114027,Kerby Farrell,CLE,farreke01,FALSE,1,1957,1957,76,77,0.497,6,6,4
113557,Chuck Dressen,MIN,dressch01,FALSE,3,1955,1957,116,212,0.354,7,8,2
111272,Lou Boudreau,OAK,boudrlo01,TRUE,3,1955,1957,151,260,0.367,6,8,5
111368,Bobby Bragan,PIT,bragabo01,FALSE,2,1956,1957,102,155,0.397,7,7,10
115167,Charlie Grimm,ATL,grimmch01,FALSE,5,1952,1956,341,285,0.545,2,7,5
115283,Stan Hack,CHC,hackst01,FALSE,3,1954,1956,196,265,0.425,6,8,2
118286,Marty Marion,CHW,marioma01,FALSE,3,1954,1956,179,138,0.565,3,3,6
117914,Al Lopez,CLE,lopezal01,TRUE,6,1951,1956,570,354,0.617,1,2,14
115534,Bucky Harris,DET,harribu01,TRUE,7,1929,1956,516,557,0.481,5,7,7
115416,Fred Haney,PIT,haneyfr01,FALSE,3,1953,1955,163,299,0.353,8,8,7
113664,Leo Durocher,SFG,durocle01,TRUE,8,1948,1955,637,523,0.549,1,5,34
122666,Eddie Stanky,STL,stanked01,FALSE,4,1952,1955,260,238,0.522,3,7,16
123825,Harry Walker,STL,walkeha01,FALSE,1,1955,1955,51,67,0.432,7,7,4
113685,Jimmy Dykes,BAL,dykesji01,FALSE,1,1954,1954,54,100,0.351,7,7,3
111272,Lou Boudreau,BOS,boudrlo01,TRUE,3,1952,1954,229,232,0.497,4,6,5
116367,Fred Hutchinson,DET,hutchfr01,FALSE,3,1952,1954,155,235,0.397,5,8,11
115534,Bucky Harris,MIN,harribu01,TRUE,18,1924,1954,1336,1416,0.485,1,7,18
116744,Eddie Joost,OAK,joosted01,FALSE,1,1954,1954,51,103,0.331,8,8,1
120031,Steve O'Neill,PHI,o'neist01,FALSE,3,1952,1954,182,140,0.565,4,4,4
119320,Terry Moore,PHI,moorete01,FALSE,1,1954,1954,35,42,0.455,4,4,0
118286,Marty Marion,BAL,marioma01,FALSE,2,1952,1953,96,161,0.374,7,8,3
112146,Phil Cavarretta,CHC,cavarph01,FALSE,3,1951,1953,169,213,0.442,5,8,8
119145,Buster Mills,CIN,millsbu01,FALSE,1,1953,1953,4,4,0.5,6,6,0
116156,Rogers Hornsby,CIN,hornsro01,TRUE,2,1952,1953,91,106,0.462,6,6,0
113557,Chuck Dressen,LAD,dressch01,FALSE,3,1951,1953,298,166,0.642,1,2,8
113685,Jimmy Dykes,OAK,dykesji01,FALSE,3,1951,1953,208,254,0.45,4,7,8
116106,Tommy Holmes,ATL,holmeto01,FALSE,2,1951,1952,61,69,0.469,4,7,2
116156,Rogers Hornsby,BAL,hornsro01,TRUE,6,1933,1952,255,381,0.401,6,8,1
111618,Earle Brucker,CIN,bruckea01,FALSE,1,1952,1952,3,2,0.6,6,6,0
122022,Luke Sewell,CIN,sewellu01,FALSE,4,1949,1952,174,234,0.426,6,7,5
121410,Red Rolfe,DET,rolfere01,FALSE,4,1949,1952,278,256,0.521,2,8,3
119018,Billy Meyer,PIT,meyerbi01,FALSE,5,1948,1952,317,452,0.412,4,8,19
122551,Billy Southworth,ATL,southbi01,TRUE,6,1946,1951,424,358,0.542,1,4,2
123143,Zack Taylor,BAL,tayloza02,FALSE,5,1946,1951,235,410,0.364,6,8,13
120031,Steve O'Neill,BOS,o'neist01,FALSE,2,1950,1951,150,99,0.602,3,3,0
114448,Frankie Frisch,CHC,friscfr01,TRUE,3,1949,1951,141,196,0.418,7,8,16
118286,Marty Marion,STL,marioma01,FALSE,1,1951,1951,81,73,0.526,3,3,1
524329,Joe McCarthy,BOS,mccarjo99,TRUE,3,1948,1950,223,145,0.606,2,3,2
120035,Jack Onslow,CHW,onsloja01,FALSE,2,1949,1950,71,113,0.386,6,6,6
112702,Red Corriden,CHW,corrire01,FALSE,1,1950,1950,52,72,0.419,6,6,0
111272,Lou Boudreau,CLE,boudrlo01,TRUE,9,1942,1950,728,649,0.529,1,6,6
122192,Burt Shotton,LAD,shottbu01,FALSE,4,1947,1950,326,215,0.603,1,3,1
118082,Connie Mack,OAK,mackco01,TRUE,50,1901,1950,3582,3814,0.484,1,8,0
113682,Eddie Dyer,STL,dyered01,FALSE,5,1946,1950,446,325,0.578,1,5,6
112645,Johnny Cooney,ATL,coonejo01,FALSE,1,1949,1949,20,25,0.444,4,4,0
123898,Bucky Walters,CIN,waltebu01,FALSE,2,1948,1949,81,123,0.397,7,7,3
117356,Joe Kuhel,MIN,kuheljo01,FALSE,2,1948,1949,106,201,0.345,7,8,6
118055,Ted Lyons,CHW,lyonste01,TRUE,3,1946,1948,185,245,0.43,5,8,4
119728,Johnny Neun,CIN,neunjo01,FALSE,2,1947,1948,117,137,0.461,5,7,2
120031,Steve O'Neill,DET,o'neist01,FALSE,6,1943,1948,509,414,0.551,1,5,3
113664,Leo Durocher,LAD,durocle01,TRUE,9,1939,1948,738,565,0.566,1,7,44
111051,Ray Blades,LAD,bladera01,FALSE,1,1948,1948,1,0,1,3,3,0
115534,Bucky Harris,NYY,harribu01,TRUE,2,1947,1948,191,117,0.62,1,3,1
112205,Ben Chapman,PHI,chapmbe01,FALSE,4,1945,1948,196,276,0.415,5,8,10
112631,Dusty Cooke,PHI,cookedu01,FALSE,1,1948,1948,6,6,0.5,6,6,0
120117,Mel Ott,SFG,ottme01,TRUE,7,1942,1948,464,530,0.467,3,8,10
121540,Muddy Ruel,BAL,ruelmu01,FALSE,1,1947,1947,59,95,0.383,8,8,0
112854,Joe Cronin,BOS,cronijo01,TRUE,13,1935,1947,1071,916,0.539,1,7,7
122933,Clyde Sukeforth,LAD,sukefcl01,FALSE,1,1947,1947,2,0,1,1,1,0
111120,Ossie Bluege,MIN,bluegos01,FALSE,5,1943,1947,375,394,0.488,2,8,4
111783,Bill Burwell,PIT,burwebi01,FALSE,1,1947,1947,1,0,1,7,7,0
115809,Billy Herman,PIT,hermabi01,TRUE,1,1947,1947,61,92,0.399,7,7,3
122022,Luke Sewell,BAL,sewellu01,FALSE,6,1941,1946,432,410,0.513,1,7,6
113685,Jimmy Dykes,CHW,dykesji01,FALSE,13,1934,1946,899,940,0.489,3,8,35
118766,Bill McKechnie,CIN,mckecbi01,TRUE,9,1938,1946,744,631,0.541,1,7,6
114998,Hank Gowdy,CIN,gowdyha01,FALSE,1,1946,1946,3,1,0.75,6,6,0
113340,Bill Dickey,NYY,dickebi01,TRUE,1,1946,1946,57,48,0.543,3,3,0
524329,Joe McCarthy,NYY,mccarjo99,TRUE,16,1931,1946,1460,867,0.627,1,4,6
119728,Johnny Neun,NYY,neunjo01,FALSE,1,1946,1946,8,6,0.571,3,3,0
114448,Frankie Frisch,PIT,friscfr01,TRUE,7,1940,1946,539,528,0.505,2,7,51
113143,Spud Davis,PIT,davissp01,FALSE,1,1946,1946,1,2,0.333,7,7,0
112486,Bob Coleman,ATL,colembo01,FALSE,3,1943,1945,128,165,0.437,6,6,0
111025,Del Bissonette,ATL,bissode01,FALSE,1,1945,1945,25,34,0.424,6,6,1
114203,Freddie Fitzsimmons,PHI,fitzsfr01,FALSE,3,1943,1945,104,180,0.366,7,8,1
122551,Billy Southworth,STL,southbi01,TRUE,7,1929,1945,620,346,0.642,1,4,3
124403,Jimmie Wilson,CHC,wilsoji01,FALSE,4,1941,1944,213,258,0.452,4,6,10
116626,Roy Johnson,CHC,johnsro01,FALSE,1,1944,1944,0,1,0,4,4,0
122737,Casey Stengel,ATL,stengca01,TRUE,6,1938,1943,373,491,0.432,5,7,14
115534,Bucky Harris,PHI,harribu01,TRUE,1,1943,1943,39,53,0.424,7,7,0
110468,Del Baker,DET,bakerde01,FALSE,8,1933,1942,417,355,0.54,1,5,2
117846,Hans Lobert,PHI,loberha01,FALSE,2,1938,1942,42,111,0.275,8,8,3
115416,Fred Haney,BAL,haneyfr01,FALSE,3,1939,1941,125,227,0.355,6,8,6
120344,Roger Peckinpaugh,CLE,peckiro01,FALSE,7,1928,1941,490,481,0.505,3,7,7
120780,Doc Prothro,PHI,prothdo01,FALSE,3,1939,1941,138,320,0.301,8,8,2
123203,Bill Terry,SFG,terrybi01,TRUE,10,1932,1941,823,661,0.555,1,6,3
115572,Gabby Hartnett,CHC,hartnga01,TRUE,3,1938,1940,203,176,0.536,1,5,2
123742,Ossie Vitt,CLE,vittos01,FALSE,3,1938,1940,262,198,0.57,2,3,3
114936,Mike González,STL,gonzami01,FALSE,2,1938,1940,9,13,0.409,3,6,0
111051,Ray Blades,STL,bladera01,FALSE,2,1939,1940,106,85,0.555,2,3,1
118084,Earle Mack,OAK,mackea01,FALSE,2,1937,1939,45,77,0.369,7,7,1
123446,Pie Traynor,PIT,traynpi01,TRUE,6,1934,1939,457,406,0.53,2,6,3
122865,Gabby Street,BAL,streega01,FALSE,1,1938,1938,53,90,0.371,7,7,3
118933,Ski Melillo,BAL,melilsk01,FALSE,1,1938,1938,2,7,0.222,7,7,0
112437,Mickey Cochrane,DET,cochrmi01,TRUE,5,1934,1938,348,250,0.582,1,4,0
115162,Burleigh Grimes,LAD,grimebu01,TRUE,2,1937,1938,131,171,0.434,6,7,15
124403,Jimmie Wilson,PHI,wilsoji01,FALSE,5,1934,1938,280,477,0.37,7,8,7
114448,Frankie Frisch,STL,friscfr01,TRUE,6,1933,1938,458,354,0.564,1,6,21
118766,Bill McKechnie,ATL,mckecbi01,TRUE,8,1930,1937,560,666,0.457,4,8,11
111266,Jim Bottomley,BAL,bottoji01,TRUE,1,1937,1937,21,56,0.273,8,8,0
123864,Bobby Wallace,CIN,wallabo01,TRUE,1,1937,1937,5,20,0.2,8,8,0
113557,Chuck Dressen,CIN,dressch01,FALSE,4,1934,1937,214,282,0.431,5,8,7
120031,Steve O'Neill,CLE,o'neist01,FALSE,3,1935,1937,199,168,0.542,3,5,2
120423,Cy Perkins,DET,perkicy01,FALSE,1,1937,1937,6,9,0.4,2,2,0
122737,Casey Stengel,LAD,stengca01,TRUE,3,1934,1936,208,251,0.453,5,7,9
116635,Walter Johnson,CLE,johnswa01,TRUE,3,1933,1935,179,168,0.516,3,4,0
115534,Bucky Harris,BOS,harribu01,TRUE,1,1934,1934,76,76,0.5,4,4,0
114289,Lew Fonseca,CHW,fonsele01,FALSE,3,1932,1934,120,196,0.38,6,8,1
119947,Bob O'Farrell,CIN,o'farbo01,FALSE,1,1934,1934,30,60,0.333,8,8,0
122192,Burt Shotton,CIN,shottbu01,FALSE,1,1934,1934,1,0,1,8,8,0
112854,Joe Cronin,MIN,cronijo01,TRUE,2,1933,1934,165,139,0.543,1,7,1
114750,George Gibson,PIT,gibsoge01,FALSE,6,1920,1934,401,330,0.549,2,5,6
122546,Allan Sothoron,BAL,sothoal01,FALSE,1,1933,1933,2,6,0.25,8,8,0
117055,Bill Killefer,BAL,killebi01,FALSE,4,1930,1933,224,329,0.405,5,8,3
118822,Marty McManus,BOS,mcmanma01,FALSE,2,1932,1933,95,153,0.383,7,8,4
111794,Donie Bush,CIN,bushdo01,FALSE,1,1933,1933,58,94,0.382,8,8,1
113988,Bibb Falk,CLE,falkbi01,FALSE,1,1933,1933,1,0,1,4,4,0
111989,Max Carey,LAD,careyma01,TRUE,2,1932,1933,146,161,0.476,3,6,7
122192,Burt Shotton,PHI,shottbu01,FALSE,6,1928,1933,370,549,0.403,4,8,1
122865,Gabby Street,STL,streega01,FALSE,5,1929,1933,312,242,0.563,1,6,11
112513,Shano Collins,BOS,collish01,FALSE,2,1931,1932,73,134,0.353,6,8,0
116156,Rogers Hornsby,CHC,hornsro01,TRUE,3,1930,1932,141,116,0.549,1,3,1
116235,Dan Howley,CIN,howleda01,FALSE,3,1930,1932,177,285,0.383,7,8,1
116635,Walter Johnson,MIN,johnswa01,TRUE,4,1929,1932,350,264,0.57,2,5,0
118726,John McGraw,SFG,mcgrajo01,TRUE,31,1902,1932,2583,1790,0.591,1,8,108
111794,Donie Bush,CHW,bushdo01,FALSE,2,1930,1931,118,189,0.384,7,8,5
121322,Wilbert Robinson,LAD,robinwi01,TRUE,18,1914,1931,1375,1341,0.506,1,7,3
113862,Jewel Ens,PIT,ensje01,FALSE,3,1929,1931,176,167,0.513,2,5,0
123779,Heinie Wagner,BOS,wagnehe01,FALSE,1,1930,1930,52,102,0.338,8,8,0
524329,Joe McCarthy,CHC,mccarjo99,TRUE,5,1926,1930,442,321,0.579,1,4,5
122083,Bob Shawkey,NYY,shawkbo01,FALSE,1,1930,1930,86,68,0.558,3,3,2
0,Judge Fuchs,ATL,fuchsju99,FALSE,1,1929,1929,56,98,0.364,8,8,0
116235,Dan Howley,BAL,howleda01,FALSE,3,1927,1929,220,239,0.479,3,7,0
112038,Bill Carrigan,BOS,carribi02,FALSE,7,1913,1929,489,500,0.494,1,8,7
111046,Lena Blackburne,CHW,blackle01,FALSE,2,1928,1929,99,133,0.427,5,7,2
115758,Jack Hendricks,CIN,hendrja01,FALSE,6,1924,1929,469,450,0.51,2,7,1
114232,Art Fletcher,NYY,fletcar01,FALSE,1,1929,1929,6,5,0.545,2,2,0
116275,Miller Huggins,NYY,huggimi01,TRUE,12,1918,1929,1067,719,0.597,1,7,14
111794,Donie Bush,PIT,bushdo01,FALSE,3,1927,1929,246,178,0.58,1,4,8
118766,Bill McKechnie,STL,mckecbi01,TRUE,2,1928,1929,129,88,0.594,1,4,2
122314,Jack Slattery,ATL,slattja01,FALSE,1,1928,1928,11,20,0.355,7,7,0
116156,Rogers Hornsby,ATL,hornsro01,TRUE,1,1928,1928,39,83,0.32,7,7,1
121766,Ray Schalk,CHW,schalra01,TRUE,2,1927,1928,102,125,0.449,5,5,1
119383,George Moriarty,DET,moriage02,FALSE,2,1927,1928,150,157,0.489,4,6,0
110524,Dave Bancroft,ATL,bancrda01,TRUE,4,1924,1927,249,363,0.407,5,8,7
492661,Jack McCallister,CLE,mccalja99,FALSE,1,1927,1927,66,87,0.431,6,6,1
118753,Stuffy McInnis,PHI,mcinnst01,FALSE,1,1927,1927,51,103,0.331,8,8,5
116156,Rogers Hornsby,SFG,hornsro01,TRUE,1,1927,1927,22,10,0.688,3,3,0
119947,Bob O'Farrell,STL,o'farbo01,FALSE,1,1927,1927,92,61,0.601,2,2,0
122280,George Sisler,BAL,sislege01,TRUE,3,1924,1926,218,241,0.475,3,7,3
114277,Lee Fohl,BOS,fohlle01,FALSE,3,1924,1926,160,299,0.349,7,8,0
112506,Eddie Collins,CHW,collied01,TRUE,3,1924,1926,174,160,0.521,5,6,2
122566,Tris Speaker,CLE,speaktr01,TRUE,8,1919,1926,617,520,0.543,1,6,4
112431,Ty Cobb,DET,cobbty01,TRUE,6,1921,1926,479,444,0.519,2,6,5
114232,Art Fletcher,PHI,fletcar01,FALSE,4,1923,1926,231,378,0.379,6,8,12
118766,Bill McKechnie,PIT,mckecbi01,TRUE,5,1922,1926,409,293,0.583,1,3,10
116156,Rogers Hornsby,STL,hornsro01,TRUE,2,1925,1926,153,116,0.569,1,4,2
117055,Bill Killefer,CHC,killebi01,FALSE,5,1921,1925,300,293,0.506,4,8,8
114750,George Gibson,CHC,gibsoge01,FALSE,1,1925,1925,12,14,0.462,8,8,1
118276,Rabbit Maranville,CHC,maranra01,TRUE,1,1925,1925,23,30,0.434,8,8,1
116528,Hughie Jennings,SFG,jennihu01,TRUE,2,1924,1925,53,23,0.697,1,2,0
121181,Branch Rickey,STL,rickebr01,TRUE,7,1919,1925,458,485,0.486,3,7,1
123878,Ed Walsh,CHW,walshed01,TRUE,1,1924,1924,1,2,0.333,6,6,0
113949,Johnny Evers,CHW,eversjo01,TRUE,1,1924,1924,51,72,0.415,6,8,2
119191,Fred Mitchell,ATL,mitchfr01,FALSE,3,1921,1923,186,274,0.404,4,8,7
110389,Jimmy Austin,BAL,austiji01,FALSE,3,1913,1923,31,44,0.413,5,8,1
114277,Lee Fohl,BAL,fohlle01,FALSE,3,1921,1923,226,183,0.553,2,5,1
112183,Frank Chance,BOS,chancfr01,TRUE,1,1923,1923,61,91,0.401,8,8,0
114858,Kid Gleason,CHW,gleaski01,FALSE,5,1919,1923,392,364,0.519,1,7,3
119341,Pat Moran,CIN,moranpa01,FALSE,5,1919,1923,425,329,0.564,1,6,4
111794,Donie Bush,MIN,bushdo01,FALSE,1,1923,1923,75,78,0.49,4,4,4
113598,Hugh Duffy,BOS,duffyhu01,TRUE,2,1921,1922,136,172,0.442,5,8,1
119046,Clyde Milan,MIN,milancl01,FALSE,1,1922,1922,69,85,0.448,6,6,0
124260,Kaiser Wilhelm,PHI,wilheka01,FALSE,2,1921,1922,83,137,0.377,7,8,0
113949,Johnny Evers,CHC,eversjo01,TRUE,2,1913,1921,129,120,0.518,3,7,11
118522,George McBride,MIN,mcbrige01,FALSE,1,1921,1921,80,73,0.523,4,4,1
113465,Bill Donovan,PHI,donovbi01,FALSE,1,1921,1921,25,62,0.287,8,8,0
122651,George Stallings,ATL,stallge01,FALSE,8,1913,1920,579,597,0.492,1,7,2
111720,Jimmy Burke,BAL,burkeji01,FALSE,3,1918,1920,172,180,0.489,4,5,0
0,Ed Barrow,BOS,barroed99,TRUE,3,1918,1920,213,203,0.512,1,6,0
119191,Fred Mitchell,CHC,mitchfr01,FALSE,4,1917,1920,308,269,0.534,1,6,10
116528,Hughie Jennings,DET,jennihu01,TRUE,14,1907,1920,1131,972,0.538,1,7,24
115150,Clark Griffith,MIN,griffcl01,TRUE,9,1912,1920,693,646,0.518,2,7,17
112794,Gavvy Cravath,PHI,cravaga01,FALSE,2,1919,1920,91,137,0.399,8,8,1
114277,Lee Fohl,CLE,fohlle01,FALSE,5,1915,1919,327,310,0.513,2,7,3
112639,Jack Coombs,PHI,coombja01,FALSE,1,1919,1919,18,44,0.29,8,8,0
492619,Hugo Bezdek,PIT,bezdehu99,FALSE,3,1917,1919,166,187,0.47,4,8,7
116685,Fielder Jones,BAL,jonesfi01,FALSE,3,1916,1918,158,196,0.446,5,7,6
492685,Pants Rowland,CHW,rowlapa99,FALSE,4,1915,1918,339,247,0.578,1,6,6
118422,Christy Mathewson,CIN,mathech01,TRUE,3,1916,1918,164,176,0.482,3,7,0
115179,Heinie Groh,CIN,grohhe01,FALSE,1,1918,1918,7,3,0.7,3,3,0
119341,Pat Moran,PHI,moranpa01,FALSE,4,1915,1918,323,257,0.557,1,6,6
115758,Jack Hendricks,STL,hendrja01,FALSE,1,1918,1918,51,78,0.395,8,8,0
110635,Jack Barry,BOS,barryja01,FALSE,1,1917,1917,90,62,0.592,2,2,2
113465,Bill Donovan,NYY,donovbi01,FALSE,3,1915,1917,220,239,0.479,4,6,5
123784,Honus Wagner,PIT,wagneho01,TRUE,1,1917,1917,1,4,0.2,8,8,0
111886,Jimmy Callahan,PIT,callani01,FALSE,2,1916,1917,85,129,0.397,6,8,4
116275,Miller Huggins,STL,huggimi01,TRUE,5,1913,1917,346,415,0.455,3,8,12
123353,Joe Tinker,CHC,tinkejo01,TRUE,1,1916,1916,67,86,0.438,5,5,3
115864,Buck Herzog,CIN,herzobu01,FALSE,3,1914,1916,165,226,0.422,7,8,10
124454,Ivey Wingo,CIN,wingoiv01,FALSE,1,1916,1916,1,1,0.5,7,7,0
121181,Branch Rickey,BAL,rickebr01,TRUE,3,1913,1915,139,179,0.437,5,8,2
117176,Otto Knabe,BLT,knabeot01,FALSE,2,1914,1915,131,177,0.425,3,8,13
111433,Roger Bresnahan,CHC,bresnro01,TRUE,1,1915,1915,73,80,0.477,4,4,6
