Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,SO/W,W,L,W-L%,ERA,GF,CG,SHO,SV,IP,ER,BK,WP,BF,WHIP,SO9
hitloc,Pulled-RHB,144.0,,690.0,685.0,141,254.0,75.0,1.0,45.0,136.0,0.0,0.0,0.0,0.0,0.371,0.369,0.68,1.049,466.0,28.0,0.0,1.0,4.0,0.0,16.0,0.325,183.0,81.0,,,,,,,,,,,,,,,,
hitloc,Up Mdle-RHB,144.0,,1277.0,1262.0,185,379.0,64.0,8.0,47.0,175.0,0.0,0.0,0.0,0.0,0.3,0.298,0.475,0.773,600.0,33.0,0.0,5.0,10.0,0.0,12.0,0.271,110.0,97.0,,,,,,,,,,,,,,,,
hitloc,Opp Fld-RHB,131.0,,386.0,376.0,49,113.0,21.0,4.0,8.0,49.0,0.0,0.0,0.0,0.0,0.301,0.294,0.441,0.735,166.0,0.0,0.0,1.0,9.0,0.0,2.0,0.279,101.0,85.0,,,,,,,,,,,,,,,,
hitloc,Pulled-LHB,131.0,,411.0,403.0,111,151.0,31.0,3.0,48.0,111.0,0.0,0.0,0.0,0.0,0.375,0.371,0.824,1.195,332.0,11.0,0.0,4.0,4.0,0.0,3.0,0.287,219.0,132.0,,,,,,,,,,,,,,,,
hitloc,Up Mdle-LHB,141.0,,679.0,663.0,118,197.0,43.0,1.0,28.0,114.0,0.0,0.0,0.0,0.0,0.297,0.291,0.492,0.783,326.0,18.0,0.0,3.0,13.0,0.0,7.0,0.261,112.0,93.0,,,,,,,,,,,,,,,,
hitloc,Opp Fld-LHB,93.0,,177.0,173.0,19,44.0,13.0,1.0,3.0,19.0,0.0,0.0,0.0,0.0,0.254,0.25,0.393,0.643,68.0,1.0,0.0,1.0,3.0,0.0,0.0,0.237,75.0,58.0,,,,,,,,,,,,,,,,
hitloc,Unknown Loc,18.0,,19.0,19.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,,,,,,,,,,,,,,,,
traj,Ground Balls,144.0,,1490.0,1490.0,118,311.0,33.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0,0.209,0.209,0.231,0.44,344.0,91.0,0.0,0.0,0.0,0.0,37.0,0.209,23.0,76.0,,,,,,,,,,,,,,,,
traj,Fly Balls,144.0,,1269.0,1239.0,295,271.0,49.0,11.0,159.0,294.0,0.0,0.0,0.0,0.0,0.219,0.214,0.661,0.875,819.0,0.0,0.0,0.0,30.0,0.0,0.0,0.101,129.0,92.0,,,,,,,,,,,,,,,,
traj,Line Drives,143.0,,850.0,837.0,209,551.0,165.0,7.0,20.0,208.0,0.0,0.0,0.0,0.0,0.658,0.648,0.944,1.592,790.0,0.0,0.0,0.0,13.0,0.0,1.0,0.64,336.0,107.0,,,,,,,,,,,,,,,,
traj,Bunts,27.0,,30.0,15.0,1,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,0.333,0.333,0.667,5.0,0.0,0.0,15.0,0.0,0.0,2.0,0.333,87.0,74.0,,,,,,,,,,,,,,,,
