Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,SO/W,W,L,W-L%,ERA,GF,CG,SHO,SV,IP,ER,BK,WP,BF,WHIP,SO9
bop,"Bat3-6,non-P",655.0,576.0,2423.0,2130.0,305,509.0,122.0,3.0,100.0,326.0,14.0,4.0,234.0,551.0,0.239,0.32,0.44,0.76,937.0,46.0,33.0,1.0,25.0,8.0,10.0,0.272,109.0,99.0,,,,,,,,,,,,,,,,
bop,"Bat7-9,non-P",526.0,422.0,1651.0,1490.0,172,333.0,66.0,6.0,42.0,159.0,20.0,3.0,129.0,374.0,0.223,0.291,0.36,0.652,537.0,26.0,17.0,6.0,9.0,4.0,12.0,0.269,80.0,94.0,,,,,,,,,,,,,,,,
count,First Pitch,140.0,,548.0,511.0,131,174.0,38.0,1.0,33.0,120.0,19.0,1.0,0.0,0.0,0.341,0.36,0.613,0.972,313.0,16.0,21.0,6.0,10.0,0.0,2.0,0.289,164.0,108.0,,,,,,,,,,,,,,,,
count,1-0 Count,133.0,,365.0,347.0,75,132.0,25.0,6.0,22.0,71.0,9.0,1.0,0.0,0.0,0.38,0.384,0.677,1.061,235.0,8.0,7.0,3.0,8.0,0.0,6.0,0.33,187.0,130.0,,,,,,,,,,,,,,,,
count,2-0 Count,77.0,,111.0,108.0,19,31.0,10.0,0.0,4.0,17.0,3.0,0.0,0.0,0.0,0.287,0.291,0.491,0.782,53.0,3.0,1.0,1.0,1.0,0.0,2.0,0.257,112.0,57.0,,,,,,,,,,,,,,,,
count,3-0 Count,61.0,,81.0,5.0,2,2.0,1.0,0.0,0.0,2.0,0.0,0.0,76.0,0.0,0.4,0.963,0.6,1.563,3.0,0.0,0.0,0.0,0.0,11.0,0.0,0.4,351.0,78.0,,,,,,,,,,,,,,,,
count,0-1 Count,143.0,,507.0,487.0,81,134.0,23.0,2.0,23.0,76.0,13.0,4.0,0.0,0.0,0.275,0.29,0.472,0.763,230.0,11.0,12.0,4.0,4.0,0.0,6.0,0.237,107.0,81.0,,,,,,,,,,,,,,,,
count,1-1 Count,137.0,,431.0,422.0,64,138.0,31.0,0.0,20.0,63.0,7.0,2.0,0.0,0.0,0.327,0.333,0.543,0.875,229.0,9.0,5.0,1.0,3.0,0.0,2.0,0.291,138.0,92.0,,,,,,,,,,,,,,,,
count,2-1 Count,114.0,,218.0,210.0,47,72.0,20.0,2.0,17.0,45.0,4.0,0.0,0.0,0.0,0.343,0.358,0.7,1.058,147.0,4.0,6.0,0.0,2.0,0.0,3.0,0.282,184.0,123.0,,,,,,,,,,,,,,,,
count,3-1 Count,120.0,,250.0,105.0,26,36.0,6.0,0.0,8.0,26.0,0.0,0.0,144.0,0.0,0.343,0.72,0.629,1.349,66.0,3.0,0.0,0.0,1.0,1.0,3.0,0.286,282.0,95.0,,,,,,,,,,,,,,,,
count,0-2 Count,141.0,,453.0,444.0,31,70.0,10.0,0.0,8.0,30.0,2.0,1.0,0.0,216.0,0.158,0.172,0.234,0.406,104.0,8.0,8.0,0.0,1.0,0.0,1.0,0.281,12.0,115.0,,,,,,,,,,,,,,,,
count,1-2 Count,144.0,,851.0,830.0,60,118.0,33.0,0.0,13.0,51.0,8.0,1.0,0.0,414.0,0.142,0.155,0.229,0.384,190.0,9.0,14.0,0.0,7.0,0.0,6.0,0.256,5.0,89.0,,,,,,,,,,,,,,,,
count,2-2 Count,144.0,,812.0,796.0,67,127.0,23.0,3.0,18.0,64.0,10.0,0.0,0.0,349.0,0.16,0.17,0.264,0.434,210.0,12.0,11.0,0.0,5.0,0.0,7.0,0.251,18.0,90.0,,,,,,,,,,,,,,,,
count,Full Count,144.0,,780.0,520.0,54,104.0,27.0,4.0,13.0,52.0,7.0,5.0,258.0,225.0,0.2,0.465,0.342,0.808,178.0,8.0,1.0,0.0,1.0,0.0,2.0,0.322,131.0,100.0,,,,,,,,,,,,,,,,
count,After 1-0,144.0,,2158.0,1786.0,246,455.0,95.0,12.0,62.0,237.0,,,325.0,397.0,0.255,0.374,0.426,0.799,760.0,37.0,25.0,4.0,18.0,11.0,17.0,0.292,123.0,95.0,,,,,,,,,,,,,,,,
count,After 2-0,144.0,,724.0,497.0,73,114.0,25.0,1.0,14.0,72.0,,,217.0,108.0,0.229,0.466,0.368,0.834,183.0,11.0,6.0,1.0,3.0,11.0,8.0,0.265,137.0,70.0,,,,,,,,,,,,,,,,
count,After 3-0,113.0,,229.0,91.0,12,27.0,5.0,1.0,2.0,12.0,,,137.0,26.0,0.297,0.716,0.44,1.156,40.0,2.0,0.0,0.0,1.0,11.0,2.0,0.391,234.0,91.0,,,,,,,,,,,,,,,,
count,After 0-1,144.0,,2695.0,2482.0,265,507.0,114.0,5.0,82.0,258.0,,,153.0,806.0,0.204,0.26,0.353,0.614,877.0,38.0,40.0,5.0,15.0,1.0,21.0,0.264,69.0,101.0,,,,,,,,,,,,,,,,
count,After 1-1,144.0,,2173.0,1912.0,208,422.0,103.0,7.0,63.0,199.0,,,225.0,596.0,0.221,0.308,0.381,0.689,728.0,30.0,23.0,1.0,12.0,1.0,13.0,0.284,91.0,102.0,,,,,,,,,,,,,,,,
count,After 2-1,144.0,,1119.0,862.0,106,184.0,42.0,4.0,30.0,104.0,,,240.0,249.0,0.213,0.391,0.376,0.766,324.0,13.0,13.0,0.0,4.0,1.0,7.0,0.262,116.0,92.0,,,,,,,,,,,,,,,,
count,After 3-1,139.0,,486.0,256.0,41,62.0,9.0,1.0,11.0,40.0,,,229.0,78.0,0.242,0.599,0.414,1.013,106.0,5.0,0.0,0.0,1.0,1.0,4.0,0.304,191.0,91.0,,,,,,,,,,,,,,,,
count,After 0-2,144.0,,1085.0,1026.0,80,161.0,33.0,1.0,23.0,78.0,,,36.0,499.0,0.157,0.197,0.258,0.456,265.0,15.0,17.0,0.0,6.0,0.0,5.0,0.271,25.0,104.0,,,,,,,,,,,,,,,,
count,After 1-2,144.0,,1642.0,1511.0,133,247.0,63.0,4.0,36.0,123.0,,,101.0,712.0,0.163,0.224,0.282,0.505,426.0,21.0,19.0,0.0,11.0,0.0,12.0,0.273,40.0,103.0,,,,,,,,,,,,,,,,
count,After 2-2,144.0,,1355.0,1164.0,103,204.0,47.0,6.0,27.0,101.0,,,173.0,496.0,0.175,0.287,0.296,0.583,344.0,18.0,12.0,0.0,6.0,0.0,8.0,0.274,63.0,97.0,,,,,,,,,,,,,,,,
count,Zero Balls,144.0,,1508.0,1442.0,243,378.0,71.0,3.0,64.0,226.0,34.0,6.0,0.0,216.0,0.262,0.28,0.449,0.728,647.0,35.0,41.0,10.0,15.0,0.0,9.0,0.267,98.0,103.0,,,,,,,,,,,,,,,,
count,Zero Strikes,144.0,,1105.0,971.0,227,339.0,74.0,7.0,59.0,210.0,31.0,2.0,76.0,0.0,0.349,0.405,0.622,1.028,604.0,27.0,29.0,10.0,19.0,11.0,10.0,0.301,180.0,105.0,,,,,,,,,,,,,,,,
count,Three Balls,144.0,,1111.0,630.0,82,142.0,34.0,4.0,21.0,80.0,7.0,5.0,478.0,225.0,0.225,0.559,0.392,0.951,247.0,11.0,1.0,0.0,2.0,12.0,5.0,0.313,173.0,96.0,,,,,,,,,,,,,,,,
count,Two Strikes,144.0,,2896.0,2590.0,212,419.0,93.0,7.0,52.0,197.0,27.0,7.0,258.0,1204.0,0.162,0.246,0.263,0.509,682.0,37.0,34.0,0.0,14.0,0.0,16.0,0.272,42.0,99.0,,,,,,,,,,,,,,,,
