Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+,SO/W,W,L,W-L%,ERA,GF,CG,SHO,SV,IP,ER,BK,WP,BF,WHIP,SO9
platparks,as LHP@CLE-Progressive,8.0,,109.0,101.0,10,28.0,11.0,1.0,3.0,,0.0,0.0,8.0,24.0,0.277,0.33,0.495,0.825,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.338,114.0,114.0,3.0,,,,,,,,,,,,,,,
platparks,as RHP@DET-Comerica Pk,9.0,,231.0,206.0,26,52.0,8.0,3.0,7.0,,1.0,1.0,19.0,54.0,0.252,0.325,0.422,0.747,87.0,5.0,3.0,2.0,0.0,1.0,1.0,0.31,96.0,114.0,2.84,,,,,,,,,,,,,,,
platparks,as LHP@DET-Comerica Pk,5.0,,88.0,82.0,11,23.0,5.0,0.0,3.0,,3.0,0.0,5.0,18.0,0.28,0.318,0.451,0.769,37.0,2.0,0.0,0.0,1.0,0.0,1.0,0.323,100.0,108.0,3.6,,,,,,,,,,,,,,,
platparks,as RHP@HOU-MinuteMaidPk,4.0,,135.0,128.0,11,30.0,5.0,0.0,5.0,,2.0,0.0,7.0,31.0,0.234,0.274,0.391,0.665,50.0,4.0,0.0,0.0,0.0,1.0,1.0,0.272,73.0,84.0,4.43,,,,,,,,,,,,,,,
platparks,as LHP@HOU-MinuteMaidPk,4.0,,18.0,15.0,5,5.0,1.0,0.0,1.0,,0.0,0.0,3.0,3.0,0.333,0.444,0.6,1.044,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.364,173.0,179.0,1.0,,,,,,,,,,,,,,,
platparks,as RHP@KCR-KauffmanStad,7.0,,187.0,168.0,28,40.0,9.0,2.0,3.0,,4.0,1.0,16.0,42.0,0.238,0.306,0.369,0.675,62.0,1.0,1.0,0.0,1.0,0.0,4.0,0.298,78.0,89.0,2.63,,,,,,,,,,,,,,,
platparks,as LHP@KCR-KauffmanStad,6.0,,71.0,65.0,12,21.0,4.0,0.0,5.0,,1.0,1.0,4.0,15.0,0.323,0.366,0.615,0.982,40.0,0.0,1.0,0.0,1.0,1.0,0.0,0.348,152.0,151.0,3.75,,,,,,,,,,,,,,,
platparks,as RHP@MIL-Am Fam Field,3.0,,104.0,94.0,8,17.0,2.0,0.0,1.0,,0.0,0.0,6.0,32.0,0.181,0.25,0.234,0.484,22.0,0.0,3.0,0.0,1.0,0.0,1.0,0.258,31.0,46.0,5.33,,,,,,,,,,,,,,,
platparks,as LHP@MIL-Am Fam Field,2.0,,6.0,6.0,0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-100.0,-100.0,,,,,,,,,,,,,,,,
platparks,as RHP@MIN-Target Field,73.0,,2089.0,1882.0,273,467.0,117.0,6.0,81.0,,21.0,13.0,159.0,451.0,0.248,0.308,0.446,0.754,839.0,36.0,15.0,9.0,23.0,4.0,16.0,0.281,96.0,100.0,2.84,,,,,,,,,,,,,,,
platparks,as LHP@MIN-Target Field,61.0,,710.0,645.0,96,164.0,34.0,1.0,27.0,,4.0,2.0,50.0,150.0,0.254,0.309,0.436,0.744,281.0,12.0,4.0,4.0,7.0,2.0,4.0,0.288,94.0,102.0,3.0,,,,,,,,,,,,,,,
