Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
opp,Inter-League,217.0,17.0,649.0,581.0,77,134.0,29.0,0.0,24.0,72.0,4.0,2.0,58.0,130.0,0.231,0.304,0.404,0.709,235.0,16.0,5.0,2.0,3.0,5.0,10.0,0.256,81.0,96.0
opp,Los Angeles Angels,150.0,15.0,589.0,526.0,87,147.0,32.0,2.0,21.0,84.0,3.0,1.0,50.0,134.0,0.279,0.35,0.468,0.818,246.0,11.0,9.0,0.0,3.0,2.0,3.0,0.337,109.0,119.0
opp,Baltimore Orioles,63.0,6.0,257.0,208.0,38,60.0,9.0,0.0,6.0,38.0,2.0,2.0,40.0,46.0,0.288,0.401,0.418,0.819,87.0,6.0,3.0,0.0,6.0,0.0,1.0,0.333,113.0,104.0
opp,Boston Red Sox,66.0,7.0,272.0,233.0,42,70.0,19.0,0.0,9.0,40.0,1.0,1.0,32.0,59.0,0.3,0.386,0.498,0.884,116.0,8.0,3.0,0.0,4.0,2.0,1.0,0.361,127.0,134.0
opp,Chicago White Sox,69.0,7.0,252.0,226.0,35,52.0,10.0,1.0,7.0,34.0,3.0,1.0,21.0,67.0,0.23,0.306,0.376,0.682,85.0,3.0,4.0,0.0,1.0,0.0,0.0,0.294,75.0,102.0
opp,Cleveland Indians,68.0,7.0,268.0,238.0,37,59.0,14.0,0.0,12.0,36.0,4.0,0.0,25.0,53.0,0.248,0.322,0.458,0.78,109.0,6.0,2.0,1.0,2.0,0.0,0.0,0.269,99.0,113.0
opp,Colorado Rockies,46.0,4.0,144.0,130.0,15,31.0,9.0,0.0,1.0,15.0,1.0,0.0,12.0,31.0,0.238,0.306,0.331,0.636,43.0,4.0,1.0,0.0,1.0,0.0,2.0,0.303,65.0,69.0
opp,Detroit Tigers,71.0,7.0,261.0,226.0,25,55.0,7.0,0.0,6.0,25.0,3.0,0.0,27.0,47.0,0.243,0.335,0.354,0.689,80.0,8.0,5.0,1.0,2.0,0.0,3.0,0.28,79.0,86.0
opp,Kansas City Royals,71.0,7.0,270.0,242.0,26,63.0,13.0,0.0,5.0,25.0,0.0,0.0,25.0,46.0,0.26,0.333,0.376,0.709,91.0,4.0,2.0,0.0,1.0,1.0,2.0,0.302,83.0,91.0
opp,Los Angeles Dodgers,48.0,4.0,143.0,132.0,15,30.0,5.0,0.0,8.0,14.0,2.0,1.0,10.0,34.0,0.227,0.287,0.447,0.734,59.0,3.0,1.0,0.0,0.0,2.0,2.0,0.244,86.0,133.0
opp,Minnesota Twins,71.0,7.0,277.0,253.0,38,71.0,15.0,0.0,13.0,37.0,5.0,0.0,18.0,61.0,0.281,0.325,0.494,0.819,125.0,7.0,1.0,0.0,5.0,1.0,2.0,0.315,108.0,112.0
opp,New York Yankees,60.0,6.0,203.0,192.0,21,42.0,8.0,0.0,9.0,21.0,4.0,1.0,10.0,48.0,0.219,0.261,0.401,0.662,77.0,8.0,1.0,0.0,0.0,0.0,0.0,0.244,68.0,92.0
opp,Oakland Athletics,127.0,13.0,506.0,462.0,81,136.0,30.0,1.0,19.0,78.0,2.0,2.0,34.0,90.0,0.294,0.346,0.487,0.833,225.0,14.0,5.0,0.0,5.0,2.0,4.0,0.327,112.0,136.0
opp,San Diego Padres,77.0,6.0,243.0,207.0,29,43.0,11.0,0.0,8.0,27.0,1.0,1.0,29.0,40.0,0.208,0.311,0.377,0.688,78.0,7.0,3.0,2.0,2.0,3.0,2.0,0.217,77.0,95.0
opp,Seattle Mariners,198.0,19.0,748.0,675.0,104,192.0,44.0,5.0,19.0,99.0,9.0,2.0,59.0,129.0,0.284,0.344,0.449,0.793,303.0,15.0,6.0,0.0,7.0,2.0,3.0,0.324,103.0,116.0
opp,San Francisco Giants,46.0,3.0,119.0,112.0,18,30.0,4.0,0.0,7.0,16.0,0.0,0.0,7.0,25.0,0.268,0.311,0.491,0.802,55.0,2.0,0.0,0.0,0.0,0.0,4.0,0.288,103.0,144.0
opp,Tampa Bay Rays,29.0,3.0,117.0,105.0,16,27.0,7.0,1.0,2.0,16.0,0.0,0.0,10.0,24.0,0.257,0.316,0.4,0.716,42.0,1.0,0.0,0.0,2.0,2.0,0.0,0.309,84.0,108.0
opp,Texas Rangers,172.0,17.0,667.0,578.0,93,155.0,21.0,1.0,23.0,88.0,5.0,1.0,73.0,113.0,0.268,0.353,0.427,0.781,247.0,16.0,7.0,2.0,7.0,5.0,5.0,0.294,101.0,107.0
opp,Toronto Blue Jays,60.0,6.0,247.0,217.0,42,70.0,15.0,1.0,11.0,41.0,3.0,1.0,25.0,40.0,0.323,0.397,0.553,0.95,120.0,4.0,3.0,0.0,2.0,0.0,2.0,0.351,142.0,167.0
opp,WP < .500,712.0,70.0,2733.0,2401.0,359,641.0,120.0,3.0,87.0,348.0,23.0,4.0,270.0,531.0,0.267,0.345,0.428,0.773,1028.0,62.0,30.0,4.0,27.0,9.0,18.0,0.306,99.0,105.0
opp,WP >= .500,780.0,74.0,2850.0,2561.0,403,692.0,153.0,9.0,99.0,386.0,25.0,10.0,237.0,556.0,0.27,0.335,0.453,0.788,1160.0,65.0,26.0,2.0,23.0,13.0,18.0,0.307,101.0,125.0
conditions,Night,996.0,97.0,3775.0,3347.0,524,917.0,188.0,4.0,129.0,509.0,30.0,8.0,352.0,733.0,0.274,0.346,0.448,0.794,1500.0,83.0,37.0,3.0,35.0,12.0,24.0,0.313,103.0,118.0
conditions,Day,496.0,47.0,1808.0,1615.0,238,416.0,85.0,8.0,57.0,225.0,18.0,6.0,155.0,354.0,0.258,0.327,0.426,0.753,688.0,44.0,19.0,3.0,15.0,10.0,12.0,0.295,93.0,108.0
conditions,Open,656.0,60.0,2362.0,2116.0,325,573.0,112.0,1.0,90.0,315.0,15.0,4.0,202.0,471.0,0.271,0.338,0.452,0.79,957.0,61.0,22.0,2.0,20.0,6.0,18.0,0.307,102.0,115.0
conditions,Dome,29.0,3.0,117.0,105.0,16,27.0,7.0,1.0,2.0,16.0,0.0,0.0,10.0,24.0,0.257,0.316,0.4,0.716,42.0,1.0,0.0,0.0,2.0,2.0,0.0,0.309,84.0,110.0
conditions,Retract,807.0,81.0,3104.0,2741.0,421,733.0,154.0,10.0,94.0,403.0,33.0,10.0,295.0,592.0,0.267,0.343,0.434,0.777,1189.0,65.0,34.0,4.0,28.0,14.0,18.0,0.307,99.0,122.0
conditions,Grass,1381.0,133.0,5145.0,4568.0,707,1231.0,255.0,10.0,175.0,681.0,45.0,14.0,471.0,1008.0,0.269,0.341,0.445,0.786,2031.0,119.0,51.0,6.0,47.0,19.0,34.0,0.308,101.0,115.0
conditions,Artif. Turf,111.0,11.0,438.0,394.0,55,102.0,18.0,2.0,11.0,53.0,3.0,0.0,36.0,79.0,0.259,0.326,0.398,0.725,157.0,8.0,5.0,0.0,3.0,3.0,2.0,0.296,86.0,107.0
parks,LAA-Angel Stad,49.0,5.0,195.0,177.0,23,44.0,7.0,0.0,8.0,22.0,0.0,1.0,16.0,50.0,0.249,0.313,0.424,0.737,75.0,3.0,1.0,0.0,1.0,0.0,2.0,0.3,88.0,97.0
parks,BAL-Camden Yards,34.0,3.0,134.0,113.0,26,38.0,7.0,0.0,6.0,26.0,0.0,1.0,18.0,27.0,0.336,0.418,0.558,0.975,63.0,3.0,0.0,0.0,3.0,0.0,1.0,0.386,150.0,141.0
parks,DET-Comerica Pk,38.0,4.0,147.0,125.0,17,32.0,3.0,0.0,3.0,17.0,2.0,0.0,16.0,29.0,0.256,0.356,0.352,0.708,44.0,5.0,4.0,1.0,1.0,0.0,2.0,0.309,85.0,103.0
parks,COL-Coors Fld,27.0,2.0,69.0,63.0,5,10.0,2.0,0.0,1.0,5.0,0.0,0.0,6.0,14.0,0.159,0.232,0.238,0.47,15.0,3.0,0.0,0.0,0.0,0.0,2.0,0.188,22.0,22.0
parks,LAD-Dodger Stad,30.0,2.0,74.0,68.0,8,16.0,4.0,0.0,4.0,8.0,1.0,0.0,6.0,23.0,0.235,0.297,0.471,0.768,32.0,1.0,0.0,0.0,0.0,2.0,0.0,0.293,94.0,117.0
parks,BOS-Fenway Pk,29.0,3.0,129.0,112.0,23,38.0,12.0,0.0,6.0,23.0,0.0,0.0,15.0,27.0,0.339,0.419,0.607,1.026,68.0,4.0,1.0,0.0,1.0,1.0,0.0,0.4,161.0,156.0
parks,TEX-GlbLifeField,82.0,8.0,321.0,289.0,39,75.0,11.0,1.0,9.0,37.0,3.0,0.0,26.0,55.0,0.26,0.33,0.398,0.728,115.0,7.0,5.0,0.0,1.0,1.0,2.0,0.292,87.0,107.0
parks,CHW-Guaranteed,30.0,3.0,101.0,95.0,8,14.0,3.0,0.0,2.0,8.0,1.0,0.0,4.0,33.0,0.147,0.198,0.242,0.44,23.0,0.0,2.0,0.0,0.0,0.0,0.0,0.2,13.0,22.0
parks,KCR-KauffmanStad,41.0,4.0,151.0,137.0,15,36.0,8.0,0.0,3.0,15.0,0.0,0.0,11.0,22.0,0.263,0.325,0.387,0.711,53.0,3.0,2.0,0.0,1.0,1.0,0.0,0.292,83.0,95.0
parks,HOU-MinuteMaidPk,718.0,72.0,2753.0,2423.0,382,649.0,136.0,10.0,88.0,366.0,29.0,10.0,270.0,528.0,0.268,0.345,0.441,0.786,1069.0,56.0,29.0,4.0,26.0,14.0,16.0,0.306,102.0,116.0
parks,SFG-Oracle Park,46.0,3.0,119.0,112.0,18,30.0,4.0,0.0,7.0,16.0,0.0,0.0,7.0,25.0,0.268,0.311,0.491,0.802,55.0,2.0,0.0,0.0,0.0,0.0,4.0,0.288,103.0,124.0
parks,SDP-Petco Pk,50.0,3.0,109.0,101.0,11,22.0,4.0,0.0,5.0,11.0,0.0,0.0,8.0,17.0,0.218,0.275,0.406,0.681,41.0,3.0,0.0,0.0,0.0,0.0,1.0,0.215,73.0,95.0
parks,CLE-Progressive,37.0,4.0,159.0,136.0,20,30.0,7.0,0.0,6.0,19.0,2.0,0.0,20.0,30.0,0.221,0.316,0.404,0.721,55.0,5.0,0.0,1.0,2.0,0.0,0.0,0.235,85.0,99.0
parks,OAK-Coliseum,71.0,7.0,297.0,265.0,56,89.0,21.0,0.0,11.0,53.0,0.0,1.0,24.0,45.0,0.336,0.394,0.54,0.934,143.0,10.0,4.0,0.0,4.0,1.0,1.0,0.366,138.0,168.0
parks,TOR-Sahlen Field,31.0,3.0,130.0,114.0,21,37.0,7.0,0.0,6.0,20.0,3.0,0.0,13.0,23.0,0.325,0.4,0.544,0.944,62.0,3.0,2.0,0.0,1.0,0.0,2.0,0.36,141.0,140.0
parks,SEA-T-Mobile Pk,89.0,9.0,351.0,318.0,39,84.0,18.0,0.0,6.0,37.0,4.0,0.0,25.0,64.0,0.264,0.326,0.377,0.703,120.0,9.0,5.0,0.0,2.0,0.0,2.0,0.312,81.0,110.0
parks,MIN-Target Field,30.0,3.0,124.0,110.0,22,36.0,9.0,0.0,7.0,22.0,3.0,0.0,8.0,27.0,0.327,0.363,0.6,0.963,66.0,3.0,1.0,0.0,5.0,0.0,1.0,0.358,143.0,154.0
parks,TBR-TropicanaFld,29.0,3.0,117.0,105.0,16,27.0,7.0,1.0,2.0,16.0,0.0,0.0,10.0,24.0,0.257,0.316,0.4,0.716,42.0,1.0,0.0,0.0,2.0,2.0,0.0,0.309,84.0,110.0
parks,NYY-Yankee Stad3,31.0,3.0,103.0,99.0,13,26.0,3.0,0.0,6.0,13.0,0.0,1.0,4.0,24.0,0.263,0.291,0.475,0.766,47.0,6.0,0.0,0.0,0.0,0.0,0.0,0.29,93.0,116.0
platparks,as RHB@LAA-Angel Stad,5.0,,141.0,125.0,13,27.0,2.0,0.0,4.0,12.0,0.0,0.0,15.0,41.0,0.216,0.298,0.328,0.626,41.0,3.0,0.0,0.0,1.0,0.0,2.0,0.284,62.0,74.0
platparks,as LHB@LAA-Angel Stad,5.0,,54.0,52.0,10,17.0,5.0,0.0,4.0,10.0,0.0,1.0,1.0,9.0,0.327,0.352,0.654,1.006,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.333,152.0,151.0
platparks,as RHB@BAL-Camden Yards,3.0,,81.0,69.0,16,23.0,2.0,0.0,4.0,16.0,0.0,1.0,9.0,14.0,0.333,0.395,0.536,0.931,37.0,2.0,0.0,0.0,3.0,0.0,1.0,0.352,138.0,130.0
platparks,as LHB@BAL-Camden Yards,3.0,,53.0,44.0,10,15.0,5.0,0.0,2.0,10.0,0.0,0.0,9.0,13.0,0.341,0.453,0.591,1.044,26.0,1.0,0.0,0.0,0.0,0.0,0.0,0.448,167.0,157.0
platparks,as RHB@BOS-Fenway Pk,3.0,,87.0,75.0,14,25.0,5.0,0.0,5.0,14.0,0.0,0.0,11.0,24.0,0.333,0.414,0.6,1.014,45.0,3.0,0.0,0.0,1.0,1.0,0.0,0.426,158.0,148.0
platparks,as LHB@BOS-Fenway Pk,3.0,,42.0,37.0,9,13.0,7.0,0.0,1.0,9.0,0.0,0.0,4.0,3.0,0.351,0.429,0.622,1.05,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.364,167.0,172.0
