Category,Split,G,GS,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,ROE,BAbip,tOPS+,sOPS+
platparks,as LHB@COL-Coors Fld,3.0,,50.0,45.0,1,6.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,11.0,0.133,0.22,0.267,0.487,12.0,1.0,1.0,0.0,0.0,1.0,0.0,0.152,45.0,29.0
platparks,as RHB@DET-Comerica Pk,3.0,,44.0,40.0,5,8.0,1.0,0.0,1.0,5.0,3.0,0.0,4.0,7.0,0.2,0.273,0.3,0.573,12.0,1.0,0.0,0.0,0.0,0.0,0.0,0.219,72.0,61.0
platparks,as LHB@DET-Comerica Pk,3.0,,50.0,46.0,4,11.0,2.0,0.0,0.0,4.0,0.0,0.0,4.0,10.0,0.239,0.3,0.283,0.583,13.0,1.0,0.0,0.0,0.0,0.0,0.0,0.306,76.0,70.0
platparks,as RHB@KCR-KauffmanStad,2.0,,34.0,33.0,2,6.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,8.0,0.182,0.206,0.212,0.418,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24,26.0,15.0
platparks,as LHB@KCR-KauffmanStad,2.0,,42.0,36.0,6,10.0,5.0,0.0,1.0,6.0,0.0,0.0,3.0,13.0,0.278,0.333,0.5,0.833,18.0,0.0,1.0,0.0,2.0,0.0,0.0,0.375,146.0,127.0
platparks,as RHB@LAD-Dodger Stad,3.0,,35.0,31.0,2,3.0,1.0,0.0,0.0,2.0,0.0,0.0,4.0,9.0,0.097,0.2,0.129,0.329,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.136,1.0,-4.0
platparks,as LHB@LAD-Dodger Stad,3.0,,70.0,63.0,2,11.0,2.0,1.0,0.0,1.0,0.0,0.0,5.0,15.0,0.175,0.246,0.238,0.484,15.0,1.0,1.0,1.0,0.0,1.0,0.0,0.229,46.0,49.0
platparks,as RHB@MIL-Am Fam Field,9.0,,177.0,166.0,12,30.0,6.0,1.0,2.0,11.0,4.0,1.0,9.0,44.0,0.181,0.226,0.265,0.491,44.0,5.0,1.0,0.0,1.0,2.0,5.0,0.231,47.0,42.0
platparks,as LHB@MIL-Am Fam Field,9.0,,176.0,150.0,23,41.0,8.0,3.0,6.0,22.0,1.0,2.0,22.0,40.0,0.273,0.374,0.487,0.86,73.0,0.0,2.0,2.0,0.0,0.0,2.0,0.337,156.0,155.0
platparks,as RHB@MIN-Target Field,3.0,,62.0,56.0,5,7.0,3.0,0.0,1.0,5.0,0.0,0.0,3.0,12.0,0.125,0.194,0.232,0.426,13.0,1.0,2.0,0.0,1.0,0.0,1.0,0.136,27.0,18.0
